Frame: 400 | Arm: RIGHT | Visibility: 0.29 | Angle: 88.47 | State: contracted | Reps: 0
Frame: 401 | Arm: RIGHT | Visibility: 0.27 | Angle: 114.36 | State: contracted | Reps: 0
Frame: 402 | Arm: RIGHT | Visibility: 0.25 | Angle: 133.72 | State: contracted | Reps: 0
Frame: 403 | Arm: RIGHT | Visibility: 0.24 | Angle: 150.03 | State: lowering | Reps: 0
Frame: 404 | Arm: RIGHT | Visibility: 0.22 | Angle: 166.99 | State: lowering | Reps: 0
Frame: 405 | Arm: RIGHT | Visibility: 0.20 | Angle: 162.56 | State: lowering | Reps: 0
Frame: 406 | Arm: RIGHT | Visibility: 0.18 | Angle: 154.13 | State: extended | Reps: 0
Frame: 435 | Arm: RIGHT | Visibility: 0.19 | Angle: 148.14 | State: extended | Reps: 0
Frame: 436 | Arm: RIGHT | Visibility: 0.27 | Angle: 147.62 | State: extended | Reps: 0
Frame: 437 | Arm: RIGHT | Visibility: 0.29 | Angle: 142.23 | State: extended | Reps: 0
Frame: 438 | Arm: RIGHT | Visibility: 0.34 | Angle: 141.49 | State: extended | Reps: 0
Frame: 439 | Arm: RIGHT | Visibility: 0.41 | Angle: 145.32 | State: extended | Reps: 0
Frame: 440 | Arm: RIGHT | Visibility: 0.45 | Angle: 148.83 | State: extended | Reps: 0
Frame: 441 | Arm: RIGHT | Visibility: 0.51 | Angle: 149.43 | State: extended | Reps: 0
Frame: 442 | Arm: RIGHT | Visibility: 0.55 | Angle: 150.11 | State: extended | Reps: 0
Frame: 443 | Arm: RIGHT | Visibility: 0.58 | Angle: 150.28 | State: extended | Reps: 0
Frame: 444 | Arm: RIGHT | Visibility: 0.61 | Angle: 151.76 | State: extended | Reps: 0
Frame: 445 | Arm: RIGHT | Visibility: 0.64 | Angle: 154.17 | State: extended | Reps: 0
Frame: 446 | Arm: RIGHT | Visibility: 0.67 | Angle: 157.43 | State: extended | Reps: 0
Frame: 447 | Arm: RIGHT | Visibility: 0.70 | Angle: 160.6 | State: extended | Reps: 0
Frame: 448 | Arm: RIGHT | Visibility: 0.70 | Angle: 164.25 | State: extended | Reps: 0
Frame: 449 | Arm: RIGHT | Visibility: 0.73 | Angle: 166.43 | State: extended | Reps: 0
Frame: 450 | Arm: RIGHT | Visibility: 0.72 | Angle: 165.6 | State: extended | Reps: 0
Frame: 480 | Arm: RIGHT | Visibility: 0.65 | Angle: 168.3 | State: extended | Reps: 0
Frame: 481 | Arm: RIGHT | Visibility: 0.61 | Angle: 147.73 | State: extended | Reps: 0
Frame: 482 | Arm: RIGHT | Visibility: 0.56 | Angle: 120.53 | State: extended | Reps: 0
Frame: 483 | Arm: RIGHT | Visibility: 0.52 | Angle: 95.54 | State: extended | Reps: 0
Frame: 484 | Arm: RIGHT | Visibility: 0.47 | Angle: 96.0 | State: curling | Reps: 0
Frame: 485 | Arm: RIGHT | Visibility: 0.43 | Angle: 86.12 | State: curling | Reps: 0
Frame: 486 | Arm: RIGHT | Visibility: 0.40 | Angle: 97.89 | State: curling | Reps: 0
Frame: 489 | Arm: RIGHT | Visibility: 0.33 | Angle: 97.66 | State: curling | Reps: 0
Frame: 491 | Arm: RIGHT | Visibility: 0.37 | Angle: 98.34 | State: curling | Reps: 0
Frame: 492 | Arm: RIGHT | Visibility: 0.38 | Angle: 79.35 | State: curling | Reps: 0
Frame: 493 | Arm: RIGHT | Visibility: 0.37 | Angle: 62.78 | State: curling | Reps: 0
Frame: 494 | Arm: RIGHT | Visibility: 0.37 | Angle: 44.97 | State: curling | Reps: 0
Frame: 495 | Arm: RIGHT | Visibility: 0.35 | Angle: 52.24 | State: contracted | Reps: 0
Frame: 497 | Arm: RIGHT | Visibility: 0.33 | Angle: 54.27 | State: contracted | Reps: 0
Frame: 498 | Arm: RIGHT | Visibility: 0.34 | Angle: 51.65 | State: contracted | Reps: 0
Frame: 499 | Arm: RIGHT | Visibility: 0.33 | Angle: 56.23 | State: contracted | Reps: 0
Frame: 500 | Arm: RIGHT | Visibility: 0.32 | Angle: 58.72 | State: contracted | Reps: 0
Frame: 502 | Arm: RIGHT | Visibility: 0.33 | Angle: 57.01 | State: contracted | Reps: 0
Frame: 503 | Arm: RIGHT | Visibility: 0.32 | Angle: 55.66 | State: contracted | Reps: 0
Frame: 504 | Arm: RIGHT | Visibility: 0.30 | Angle: 79.43 | State: contracted | Reps: 0
Frame: 505 | Arm: RIGHT | Visibility: 0.28 | Angle: 96.21 | State: contracted | Reps: 0
Frame: 506 | Arm: RIGHT | Visibility: 0.26 | Angle: 121.37 | State: contracted | Reps: 0
Frame: 507 | Arm: RIGHT | Visibility: 0.26 | Angle: 138.55 | State: lowering | Reps: 0
Frame: 508 | Arm: RIGHT | Visibility: 0.27 | Angle: 157.37 | State: lowering | Reps: 0
Frame: 509 | Arm: RIGHT | Visibility: 0.29 | Angle: 153.52 | State: lowering | Reps: 0
{'exercise': 'bicep_curl', 'selected_arm': 'right', 'arm_detection': {'selected_arm': 'right', 'left_score': 131.05, 'right_score': 137.61, 'left_samples': 213, 'right_samples': 126}, 'rep_count': 0, 'rep_data': [], 'rep_quality': [], 'form_score': 0, 'feedback': [], 'processed_frames': 109, 'skipped_frames': 400}
