Frame: 81 | Visibility: 0.97 | Elbow Angle: 71.86 | State: bottom | Reps: 1
Frame: 82 | Visibility: 0.97 | Elbow Angle: 68.14 | State: bottom | Reps: 1
Frame: 83 | Visibility: 0.97 | Elbow Angle: 77.91 | State: bottom | Reps: 1
Frame: 84 | Visibility: 0.94 | Elbow Angle: 90.55 | State: bottom | Reps: 1
Frame: 85 | Visibility: 0.93 | Elbow Angle: 85.73 | State: bottom | Reps: 1
Frame: 86 | Visibility: 0.94 | Elbow Angle: 86.18 | State: bottom | Reps: 1
Frame: 87 | Visibility: 0.94 | Elbow Angle: 74.32 | State: bottom | Reps: 1
Frame: 88 | Visibility: 0.95 | Elbow Angle: 73.78 | State: bottom | Reps: 1
Frame: 89 | Visibility: 0.95 | Elbow Angle: 71.06 | State: bottom | Reps: 1
Frame: 90 | Visibility: 0.96 | Elbow Angle: 76.22 | State: bottom | Reps: 1
Frame: 91 | Visibility: 0.96 | Elbow Angle: 83.57 | State: bottom | Reps: 1
Frame: 92 | Visibility: 0.97 | Elbow Angle: 87.49 | State: bottom | Reps: 1
Frame: 93 | Visibility: 0.97 | Elbow Angle: 94.91 | State: bottom | Reps: 1
Frame: 94 | Visibility: 0.97 | Elbow Angle: 101.75 | State: bottom | Reps: 1
Frame: 95 | Visibility: 0.97 | Elbow Angle: 104.51 | State: bottom | Reps: 1
Frame: 96 | Visibility: 0.98 | Elbow Angle: 106.67 | State: bottom | Reps: 1
Frame: 97 | Visibility: 0.98 | Elbow Angle: 112.59 | State: bottom | Reps: 1
Frame: 98 | Visibility: 0.98 | Elbow Angle: 119.03 | State: ascending | Reps: 1
Frame: 99 | Visibility: 0.98 | Elbow Angle: 123.66 | State: ascending | Reps: 1
Frame: 100 | Visibility: 0.98 | Elbow Angle: 133.2 | State: ascending | Reps: 1
Frame: 101 | Visibility: 0.98 | Elbow Angle: 144.35 | State: ascending | Reps: 1
Frame: 102 | Visibility: 0.98 | Elbow Angle: 152.61 | State: ascending | Reps: 1
Frame: 103 | Visibility: 0.99 | Elbow Angle: 156.8 | State: up | Reps: 2
Frame: 104 | Visibility: 0.99 | Elbow Angle: 154.15 | State: up | Reps: 2
Frame: 105 | Visibility: 0.99 | Elbow Angle: 152.14 | State: up | Reps: 2
Frame: 106 | Visibility: 0.99 | Elbow Angle: 147.53 | State: up | Reps: 2
Frame: 107 | Visibility: 0.99 | Elbow Angle: 143.69 | State: descending | Reps: 2
