Frame: 105 | Leg: RIGHT | Visibility: 0.75 | Angle: 156.2 | State: descending | Reps: 0
Frame: 106 | Leg: RIGHT | Visibility: 0.74 | Angle: 160.14 | State: descending | Reps: 0
Frame: 107 | Leg: RIGHT | Visibility: 0.74 | Angle: 161.97 | State: descending | Reps: 0
Frame: 108 | Leg: RIGHT | Visibility: 0.75 | Angle: 164.13 | State: descending | Reps: 0
Frame: 109 | Leg: RIGHT | Visibility: 0.75 | Angle: 163.52 | State: descending | Reps: 0
Frame: 110 | Leg: RIGHT | Visibility: 0.75 | Angle: 161.68 | State: descending | Reps: 0
Frame: 111 | Leg: RIGHT | Visibility: 0.75 | Angle: 160.66 | State: descending | Reps: 0
Frame: 112 | Leg: RIGHT | Visibility: 0.74 | Angle: 160.91 | State: descending | Reps: 0
Frame: 113 | Leg: RIGHT | Visibility: 0.72 | Angle: 159.28 | State: descending | Reps: 0
Frame: 114 | Leg: RIGHT | Visibility: 0.71 | Angle: 158.01 | State: descending | Reps: 0
Frame: 115 | Leg: RIGHT | Visibility: 0.68 | Angle: 154.34 | State: descending | Reps: 0
Frame: 116 | Leg: RIGHT | Visibility: 0.67 | Angle: 148.74 | State: descending | Reps: 0
Frame: 117 | Leg: RIGHT | Visibility: 0.64 | Angle: 138.18 | State: descending | Reps: 0
Frame: 118 | Leg: RIGHT | Visibility: 0.64 | Angle: 135.04 | State: descending | Reps: 0
Frame: 119 | Leg: RIGHT | Visibility: 0.64 | Angle: 124.61 | State: descending | Reps: 0
Frame: 120 | Leg: RIGHT | Visibility: 0.64 | Angle: 120.39 | State: descending | Reps: 0
Frame: 121 | Leg: RIGHT | Visibility: 0.65 | Angle: 116.37 | State: descending | Reps: 0
Frame: 122 | Leg: RIGHT | Visibility: 0.66 | Angle: 113.56 | State: descending | Reps: 0
Frame: 123 | Leg: RIGHT | Visibility: 0.67 | Angle: 110.48 | State: descending | Reps: 0
Frame: 124 | Leg: RIGHT | Visibility: 0.69 | Angle: 102.04 | State: bottom | Reps: 0
Frame: 125 | Leg: RIGHT | Visibility: 0.70 | Angle: 102.14 | State: bottom | Reps: 0
Frame: 126 | Leg: RIGHT | Visibility: 0.71 | Angle: 95.89 | State: bottom | Reps: 0
Frame: 127 | Leg: RIGHT | Visibility: 0.70 | Angle: 96.24 | State: bottom | Reps: 0
Frame: 128 | Leg: RIGHT | Visibility: 0.69 | Angle: 91.87 | State: bottom | Reps: 0
Frame: 129 | Leg: RIGHT | Visibility: 0.68 | Angle: 89.27 | State: bottom | Reps: 0
Frame: 130 | Leg: RIGHT | Visibility: 0.64 | Angle: 94.68 | State: bottom | Reps: 0
Frame: 131 | Leg: RIGHT | Visibility: 0.60 | Angle: 97.35 | State: bottom | Reps: 0
Frame: 147 | Leg: RIGHT | Visibility: 0.60 | Angle: 105.5 | State: bottom | Reps: 0
Frame: 148 | Leg: RIGHT | Visibility: 0.60 | Angle: 111.73 | State: bottom | Reps: 0
Frame: 149 | Leg: RIGHT | Visibility: 0.61 | Angle: 110.67 | State: bottom | Reps: 0
Frame: 150 | Leg: RIGHT | Visibility: 0.62 | Angle: 111.27 | State: bottom | Reps: 0
Frame: 151 | Leg: RIGHT | Visibility: 0.61 | Angle: 112.91 | State: bottom | Reps: 0
Frame: 163 | Leg: RIGHT | Visibility: 0.61 | Angle: 159.18 | State: ascending | Reps: 0
Frame: 173 | Leg: RIGHT | Visibility: 0.60 | Angle: 119.67 | State: ascending | Reps: 0
Frame: 174 | Leg: RIGHT | Visibility: 0.62 | Angle: 113.73 | State: ascending | Reps: 0
Frame: 175 | Leg: RIGHT | Visibility: 0.63 | Angle: 111.7 | State: ascending | Reps: 0
Frame: 176 | Leg: RIGHT | Visibility: 0.65 | Angle: 108.07 | State: ascending | Reps: 0
Frame: 177 | Leg: RIGHT | Visibility: 0.67 | Angle: 102.3 | State: ascending | Reps: 0
Frame: 178 | Leg: RIGHT | Visibility: 0.69 | Angle: 105.59 | State: ascending | Reps: 0
Frame: 179 | Leg: RIGHT | Visibility: 0.68 | Angle: 105.89 | State: ascending | Reps: 0
Frame: 180 | Leg: RIGHT | Visibility: 0.68 | Angle: 108.38 | State: ascending | Reps: 0
Frame: 181 | Leg: RIGHT | Visibility: 0.68 | Angle: 107.36 | State: ascending | Reps: 0
Frame: 182 | Leg: RIGHT | Visibility: 0.66 | Angle: 111.04 | State: ascending | Reps: 0
Frame: 183 | Leg: RIGHT | Visibility: 0.63 | Angle: 111.03 | State: ascending | Reps: 0
Frame: 184 | Leg: RIGHT | Visibility: 0.61 | Angle: 107.06 | State: ascending | Reps: 0
Frame: 193 | Leg: RIGHT | Visibility: 0.62 | Angle: 98.08 | State: ascending | Reps: 0
Frame: 194 | Leg: RIGHT | Visibility: 0.64 | Angle: 95.76 | State: ascending | Reps: 0
Frame: 195 | Leg: RIGHT | Visibility: 0.65 | Angle: 99.2 | State: ascending | Reps: 0
Frame: 196 | Leg: RIGHT | Visibility: 0.66 | Angle: 101.29 | State: ascending | Reps: 0
Frame: 197 | Leg: RIGHT | Visibility: 0.68 | Angle: 107.03 | State: ascending | Reps: 0
Frame: 198 | Leg: RIGHT | Visibility: 0.67 | Angle: 112.43 | State: ascending | Reps: 0
Frame: 199 | Leg: RIGHT | Visibility: 0.67 | Angle: 113.75 | State: ascending | Reps: 0
Frame: 200 | Leg: RIGHT | Visibility: 0.68 | Angle: 116.73 | State: ascending | Reps: 0
Frame: 201 | Leg: RIGHT | Visibility: 0.67 | Angle: 119.68 | State: ascending | Reps: 0
Frame: 202 | Leg: RIGHT | Visibility: 0.66 | Angle: 122.41 | State: ascending | Reps: 0
Frame: 203 | Leg: RIGHT | Visibility: 0.66 | Angle: 129.08 | State: ascending | Reps: 0
Frame: 204 | Leg: RIGHT | Visibility: 0.68 | Angle: 133.48 | State: ascending | Reps: 0
Frame: 205 | Leg: RIGHT | Visibility: 0.68 | Angle: 143.56 | State: ascending | Reps: 0
Frame: 206 | Leg: RIGHT | Visibility: 0.68 | Angle: 144.77 | State: ascending | Reps: 0
Frame: 207 | Leg: RIGHT | Visibility: 0.70 | Angle: 146.88 | State: ascending | Reps: 0
Frame: 208 | Leg: RIGHT | Visibility: 0.71 | Angle: 148.63 | State: ascending | Reps: 0
Frame: 209 | Leg: RIGHT | Visibility: 0.72 | Angle: 151.04 | State: ascending | Reps: 0
Frame: 210 | Leg: RIGHT | Visibility: 0.72 | Angle: 152.68 | State: ascending | Reps: 0
Frame: 211 | Leg: RIGHT | Visibility: 0.71 | Angle: 152.86 | State: ascending | Reps: 0
Frame: 212 | Leg: RIGHT | Visibility: 0.71 | Angle: 153.66 | State: ascending | Reps: 0
Frame: 213 | Leg: RIGHT | Visibility: 0.70 | Angle: 153.97 | State: ascending | Reps: 0
Frame: 214 | Leg: RIGHT | Visibility: 0.69 | Angle: 152.04 | State: ascending | Reps: 0
Frame: 215 | Leg: RIGHT | Visibility: 0.67 | Angle: 149.98 | State: ascending | Reps: 0
